"","adtFrDd","hospTyTpCd","sgguNm","sidoNm","spclAdmTyCd","telno","yadmNm"
"1","20200520","B","진천군","충북","A0","043-533-1711","의료법인 건명의료재단 중앙제일병원"
"2","20200511","A","수원시 권선구","경기","A0","031-278-0119","의료법인 명인의료재단 화홍병원"
"3","20200514","B","청주시 서원구","충북","A0","043-279-2300","충청북도 청주의료원"
"4","20200225","B","춘천시","강원","A0","033-258-2000","강원대학교병원"
"5","20200306","B","서구","대전","A0","042-600-9999","학교법인 건양교육재단 건양대학교병원"
"6","20200302","B","용인시 기흥구","경기","A0","031-300-0114","강남병원"
"7","20200226","A","파주시","경기","A0","031-9431-1912","메디인병원"
"8","20200225","B","구리시","경기","A0","-1644-9118","한양대학교구리병원"
"9","20200225","B","고양시 덕양구","경기","A0","031-810-5114","의료법인명지의료재단명지병원"
"10","20200225","A","용인시 처인구","경기","A0","031-8021-2000","(의)영문의료재단 다보스병원"
"11","20200225","B","남양주시","경기","A0","031-574-9118","현대병원"
"12","20200225","B","부천시","경기","A0","-1599-6677","부천세종병원"
"13","20200226","A","화성시","경기","A0","031-8077-7200","의료법인 원광의료재단 원광종합병원"
"14","20200226","A","안성시","경기","A0","031-675-6007","안성성모병원"
"15","20200226","A","시흥시","경기","A0","-1811-7000","의료법인 남촌의료재단 시화병원"
"16","20200225","B","김포시","경기","A0","031-999-1000","의료법인우리의료재단김포우리병원"
"17","20200225","B","화성시","경기","A0","-1600-5982","화성디에스병원"
"18","20200309","A","강동구","서울","A0","02-2224-2114","성심의료재단강동성심병원"
"19","20200309","B","광진구","서울","A0","-1588-1533","건국대학교병원"
"20","20200309","B","여주시","경기","A0","031-880-7700","세종여주병원"
"21","20200305","A","남구","울산","A0","052-220-7500","의료법인 은성의료재단 좋은삼정병원"
"22","20200306","A","광명시","경기","A0","02-2680-7114","광명성애병원"
"23","20200309","A","군포시","경기","A0","031-390-2300","원광대학교 산본병원"
"24","20200309","A","청주시 청원구","충북","A0","043-219-8000","청주성모병원"
"25","20200304","A","광진구","서울","A0","02-2049-9000","혜민병원"
"26","20200304","A","노원구","서울","A0","02-970-2114","한국원자력의학원원자력병원"
"27","20200304","A","영등포구","서울","A0","02-840-7114","성애의료재단 성애병원"
"28","20200304","A","서구","광주","A0","062-600-8000","서광병원"
"29","20200226","B","부천시","경기","A0","032-621-5114","순천향대학교부속부천병원"
"30","20200226","B","김포시","경기","A0","031-998-8129","의료법인인봉의료재단뉴고려병원"
"31","20200226","B","화성시","경기","A0","031-8086-3000","한림대학교동탄성심병원"
"32","20200226","B","고양시 일산동구","경기","A0","031-1577-7000","동국대학교일산불교병원"
"33","20200227","B","평택시","경기","A0","031-5182-7700","의료법인백송의료재단 굿모닝병원"
"34","20200226","B","부천시","경기","A0","032-1577-0675","가톨릭대학교부천성모병원"
"35","20200227","B","수원시 영통구","경기","A0","031-219-5114","아주대학교병원"
"36","20200225","A","창원시 진해구","경남","A0","055-548-7700","연세에스병원"
"37","20200226","A","창원시 마산회원구","경남","A0","055-230-1500","의료법인청아의료재단청아병원"
"38","20200227","B","양산시","경남","A0","055-360-1000","양산부산대학교병원"
"39","20200228","A","진주시","경남","A0","055-751-2500","진주고려병원"
"40","20200226","A","안동시","경북","A0","054-850-8114","안동성소병원"
"41","20200227","A","경주시","경북","A0","054-748-9300","동국대학교의과대학경주병원"
"42","20200302","B","중구","인천","A0","032-890-2114","인하대학교의과대학부속병원"
"43","20200309","B","영등포구","서울","A0","-1661-7575","가톨릭대학교 여의도성모병원"
"44","20200310","A","광산구","광주","A0","062-975-9000","KS병원"
"45","20200310","A","여수시","전남","A0","061-640-7128","여수전남병원"
"46","20200514","A","상주시","경북","A0","054-534-3501","상주적십자병원"
"47","20200803","A","전주시 덕진구","전북","A0","063-250-1114","전북대학교병원"
"48","20200307","A","광산구","광주","A0","062-601-8000","첨단종합병원"
"49","20200312","B","강릉시","강원","A0","033-610-3114","강릉아산병원"
"50","20200306","A","전주시 완산구","전북","A0","063-220-7200","의료법인영경의료재단전주병원"
"51","20200305","B","구미시","경북","A0","054-468-9114","순천향대학교 부속 구미병원"
"52","20200306","B","포항시 남구","경북","A0","054-275-0005","의료법인한성재단포항세명기독병원"
"53","20200311","B","서구","인천","A0","032-1600-8291","가톨릭관동대학교 국제성모병원"
"54","20200713","A","안양시 동안구","경기","A0","031-380-1500","한림대학교성심병원"
"55","20200317","A","동구","인천","A0","032-580-6000","인천광역시의료원"
"56","20200316","B","은평구","서울","A0","02-1811-7755","가톨릭대학교 은평성모병원"
"57","20200323","B","용인시 기흥구","경기","A0","-1899-1004","연세대학교 의과대학 용인세브란스병원"
"58","20200423","A","연수구","인천","A0","032-899-9999","(의)나사렛의료재단 나사렛국제병원"
"59","20200413","A","천안시 동남구","충남","A0","041-590-9000","천안우리병원"
"60","20200416","A","성남시 중원구","경기","A0","031-743-3000","성남중앙병원"
"61","20200417","A","구리시","경기","A0","031-550-1111","재단법인원진녹색병원"
"62","20200313","A","송파구","서울","A0","02-3400-1114","경찰병원"
"63","20200303","A","서구","인천","A0","032-567-6200","온누리병원"
"64","20200303","B","의정부시","경기","A0","-1661-7500","가톨릭대학교의정부성모병원"
"65","20200305","A","의정부시","경기","A0","031-856-8111","의료법인 영동의료재단 의정부백병원"
"66","20200303","A","여수시","전남","A0","061-653-2000","여수한국병원"
"67","20200303","A","거제시","경남","A0","055-731-1240","의료법인 성념의료재단맑은샘병원"
"68","20200228","B","강남구","서울","A0","02-2019-3114","연세대학교의과대학 강남세브란스병원"
"69","20200228","B","강동구","서울","A0","02-2225-1111","한국보훈복지의료공단 중앙보훈병원"
"70","20200228","B","동작구","서울","A0","-1800-1114","중앙대학교병원"
"71","20200302","B","서대문구","서울","A0","02-2228-0114","학교법인연세대학교의과대학세브란스병원"
"72","20200228","B","성북구","서울","A0","-1577-0083","학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원)"
"73","20200302","B","양천구","서울","A0","02-2650-5114","이화여자대학교의과대학부속목동병원"
"74","20200228","B","용산구","서울","A0","02-709-9114","순천향대학교 부속 서울병원"
"75","20200305","B","금천구","서울","A0","02-804-0002","희명병원"
"76","20200302","A","달서구","대구","A0","053-560-9114","의료법인구의료재단 구병원"
"77","20200228","A","중구","대구","A0","053-200-5114","경북대학교병원"
"78","20200228","A","시흥시","경기","A0","031-310-6300","의료법인 녹향의료재단 신천연합병원"
"79","20200228","A","춘천시","강원","A0","033-240-5000","한림대학교부속 춘천성심병원"
"80","20200302","A","김천시","경북","A0","054-420-9300","의료법인덕산의료재단김천제일병원"
"81","20200228","A","문경시","경북","A0","054-550-7700","의료법인동춘의료재단문경제일병원"
"82","20200228","A","안동시","경북","A0","054-840-1004","의료법인안동병원"
"83","20200228","A","진주시","경남","A0","055-750-7123","제일병원"
"84","20200228","A","제주시","제주","A0","064-786-7000","의료법인 중앙의료재단 중앙병원"
"85","20200228","B","계양구","인천","A0","032-540-9114","한림병원"
"86","20200613","A","화성시","경기","A0","031-352-8114","의료법인 은혜와감사의료재단 화성중앙종합병원"
"87","20200309","A","동작구","서울","A0","02-870-2114","서울특별시보라매병원"
"88","20200316","A","미추홀구","인천","A0","032-457-2000","의료법인 인천사랑병원"
"89","20200506","A","관악구","서울","A0","02-1877-8875","에이치플러스 양지병원"
"90","20200801","A","도봉구","서울","A0","02-901-3114","의료법인한전의료재단 한일병원"
"91","20200225","B","영등포구","서울","A0","02-829-5114","한림대학교 강남성심병원"
"92","20200225","B","동대문구","서울","A0","02-2244-0191","삼육서울병원"
"93","20200225","B","동대문구","서울","A0","02-958-8114","경희대학교병원"
"94","20200225","A","성북구","서울","A0","02-912-0100","성북우리아이들병원"
"95","20200225","A","구로구","서울","A0","02-858-0100","의료법인 우리아이들 의료재단 우리아이들병원"
"96","20200226","A","중구","서울","A0","02-2270-0114","인제대학교 서울백병원"
"97","20200227","A","서대문구","서울","A0","02-396-9161","의료법인동신의료재단 동신병원"
"98","20200227","B","종로구","서울","A0","-1588-5700","서울대학교병원"
"99","20200227","A","노원구","서울","A0","02-970-8000","노원을지대학교병원"
"100","20200227","B","강동구","서울","A0","02-440-7114","강동경희대학교의대병원"
